"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"And",1,1,116584,222107,8961,"GJ 9832","16Lam And","Udkadua",23.626056,46.458152,26.4061,159.22,-421.46,3.81,"G8III-IV",0.984,"Lam",,"And","north",43.541848
"And",1,2,116805,222439,8976,"","19Kap And","Kaffalmusalsala",23.673469,44.333932,51.6262,81.33,-18.96,4.15,"B9IVn",-0.071,"Kap",,"And","north",45.666068
"And",1,3,116631,222173,8965,"","17Iot And","Rasalnaqa",23.63561,43.268073,153.1394,27.72,-1.21,4.29,"B8V",-0.083,"Iot",,"And","north",46.731927
"And",1,4,113726,217675,8762,"","1Omi And","Alfarasalkamil",23.032017,42.325979,210.5263,22.47,0.24,3.62,"B6pv SB",-0.099,"Omi",,"And","north",47.674021
"And",1,5,116631,222173,8965,"","17Iot And","Rasalnaqa",23.63561,43.268073,153.1394,27.72,-1.21,4.29,"B8V",-0.083,"Iot",,"And","north",46.731927
"And",1,6,1473,1404,68,"","25Sig And","",0.305463,36.785224,41.3223,-66.51,-42.48,4.51,"A2V",0.054,"Sig",,"And","north",53.214776
"And",1,7,3092,3627,165,"","31Del And","",0.655462,30.861024,32.352,115.38,-83.05,3.27,"K3III...",1.268,"Del",,"And","north",59.138976
"And",1,8,677,358,15,"","21Alp And","Alpheratz",0.139791,29.090432,29.7442,135.68,-162.95,2.07,"B9p",-0.038,"Alp",,"And","north",60.909568
"And",1,9,3092,3627,165,"","31Del And","",0.655462,30.861024,32.352,115.38,-83.05,3.27,"K3III...",1.268,"Del",,"And","north",59.138976
"And",1,10,3031,3546,163,"","30Eps And","",0.642602,29.311751,50.226,-229.41,-254.08,4.34,"G5III...",0.871,"Eps",,"And","north",60.688249
"And",1,11,3693,4502,215,"","34Zet And","Shimu",0.788981,24.267178,58.0046,-101.23,-81.89,4.08,"K1II",1.1,"Zet",,"And","north",65.732822
"And",1,12,3031,3546,163,"","30Eps And","",0.642602,29.311751,50.226,-229.41,-254.08,4.34,"G5III...",0.871,"Eps",,"And","north",60.688249
"And",1,13,3092,3627,165,"","31Del And","",0.655462,30.861024,32.352,115.38,-83.05,3.27,"K3III...",1.268,"Del",,"And","north",59.138976
"And",1,14,5447,6860,337,"Gl 53.3","43Bet And","Mirach",1.162194,35.620558,60.5327,175.59,-112.23,2.07,"M0IIIvar",1.576,"Bet",,"And","north",54.379442
"And",1,15,9640,12533,603,"","57Gam1And","Almach",2.064984,42.329725,120.4819,43.08,-50.85,2.1,"B8V",1.37,"Gam-1",,"And","north",47.670275
"And",1,16,5447,6860,337,"Gl 53.3","43Bet And","Mirach",1.162194,35.620558,60.5327,175.59,-112.23,2.07,"M0IIIvar",1.576,"Bet",,"And","north",54.379442
"And",1,17,7607,9927,464,"","51    And","Nembus",1.633205,48.628213,54.3183,60.9,-112.42,3.59,"K3III",1.275,"",,"And","north",41.371787
"And",1,18,5447,6860,337,"Gl 53.3","43Bet And","Mirach",1.162194,35.620558,60.5327,175.59,-112.23,2.07,"M0IIIvar",1.576,"Bet",,"And","north",54.379442
"And",1,19,4436,5448,269,"","37Mu  And","",0.945885,38.499345,39.7772,152.78,36.82,3.86,"A5V",0.13,"Mu",,"And","north",51.500655
"And",1,20,3881,4727,226,"","35Nu  And","",0.830234,41.078911,189.3939,22.68,-18.05,4.53,"B5V SB",-0.136,"Nu",,"And","north",48.921089
"Ant",1,1,53502,94890,4273,"","Iot Ant","",10.945289,-37.137765,58.2751,74.96,-124.5,4.6,"K0III",1.006,"Iot",,"Ant","south",52.862235
"Ant",1,2,51172,90610,4104,"","Alp Ant","",10.45253,-31.067779,112.2334,-80.42,9.63,4.28,"K4III",1.429,"Alp",,"Ant","south",58.932221
"Ant",1,3,47758,84367,3871,"Gl 366.1A","The Ant","",9.736694,-27.769471,104.0583,-53.06,37.76,4.78,"A7V+...",0.516,"The",,"Ant","south",62.230529000000004
"Ant",1,4,46515,82150,3765,"","Eps Ant","",9.487423,-35.951335,217.8649,-24.74,5.07,4.51,"K3III",1.408,"Eps",,"Ant","south",54.048665
"Aps",1,1,72370,129078,5470,"","Alp Aps","Paradys",14.797701,-79.044751,136.9863,-5.67,-15.75,3.83,"K5III",1.433,"Alp",,"Aps","south",10.955248999999995
"Aps",1,2,80047,145366,6020,"","Del1Aps","",16.339119,-78.695745,233.6449,-9.91,-36.59,4.68,"M5III",1.68,"Del-1",,"Aps","south",11.304254999999998
"Aps",1,3,81065,147675,6102,"Gl 626.1","Gam Aps","",16.557609,-78.897148,47.9157,-125.68,-77.59,3.86,"K0IV SB",0.923,"Gam",,"Aps","south",11.102851999999999
"Aps",1,4,81852,149324,6163,"","Bet Aps","",16.718126,-77.517435,48.1232,-282.83,-355.03,4.23,"K0III",1.06,"Bet",,"Aps","south",12.482564999999994
"Aql",1,1,98036,188512,7602,"Gl 771A","60Bet Aql","Alshain",19.921887,6.406763,13.6986,46.35,-481.32,3.71,"G8IVvar",0.855,"Bet",,"Aql","north",83.593237
"Aql",1,2,97649,187642,7557,"Gl 768","53Alp Aql","Altair",19.846388,8.868322,5.1295,536.82,385.54,0.76,"A7IV-V",0.221,"Alp",,"Aql","north",81.131678
"Aql",1,3,97278,186791,7525,"","50Gam Aql","Tarazed",19.770994,10.613261,121.0654,15.72,-3.08,2.72,"K3II",1.507,"Gam",,"Aql","north",79.386739
"Aql",1,4,95501,182640,7377,"Gl 760","30Del Aql","",19.424972,3.114775,15.5255,253.06,80.67,3.36,"F0IV",0.319,"Del",,"Aql","north",86.885225
"Aql",1,5,93747,177724,7235,"GJ 4095A","17Zet Aql","Okab",19.090169,13.863478,25.4582,-7.04,-95.31,2.99,"A0Vn",0.014,"Zet",,"Aql","north",76.136522
"Aql",1,6,95501,182640,7377,"Gl 760","30Del Aql","",19.424972,3.114775,15.5255,253.06,80.67,3.36,"F0IV",0.319,"Del",,"Aql","north",86.885225
"Aql",1,7,97804,187929,7570,"","55Eta Aql","",19.874547,1.005661,423.7288,6.94,-7.3,3.87,"F6Ibv SB",0.63,"Eta",,"Aql","north",88.994339
"Aql",1,8,99473,191692,7710,"","65The Aql","Antinous",20.188413,-0.821461,87.7963,35.48,6.05,3.24,"B9.5III",-0.066,"The",,"Aql","south",89.178539
"Aql",1,9,97804,187929,7570,"","55Eta Aql","",19.874547,1.005661,423.7288,6.94,-7.3,3.87,"F6Ibv SB",0.63,"Eta",,"Aql","north",88.994339
"Aql",1,10,95501,182640,7377,"Gl 760","30Del Aql","",19.424972,3.114775,15.5255,253.06,80.67,3.36,"F0IV",0.319,"Del",,"Aql","north",86.885225
"Aql",1,11,93805,177756,7236,"","16Lam Aql","",19.10415,-4.882554,37.9219,-19.68,-90.37,3.43,"B9Vn",-0.096,"Lam",,"Aql","south",85.117446
"Aql",1,12,93429,176678,7193,"","12    Aql","",19.028008,-5.739115,44.1306,-24.15,-39.73,4.02,"K1IIIvar",1.079,"",,"Aql","south",84.260885
"Aqr",1,1,114341,218594,8812,"","88    Aqr","Safina",23.157443,-21.17241,82.9876,55.99,31.25,3.68,"K1III",1.202,"",,"Aqr","south",68.82759
"Aqr",1,2,114855,219449,8841,"Gl 893.2A","91Psi1Aqr","",23.264859,-9.087737,45.9348,368.56,-17.02,4.24,"K0III",1.107,"Psi-1",,"Aqr","south",80.912263
"Aqr",1,3,114724,219215,8834,"","90Phi Aqr","",23.238711,-6.049003,61.9579,46.22,-195.85,4.22,"M2III",1.545,"Phi",,"Aqr","south",83.950997
"Aqr",1,4,111497,213998,8597,"","62Eta Aqr","",22.589272,-0.117498,51.4668,88.56,-56.1,4.04,"B9IV-Vn",-0.083,"Eta",,"Aqr","south",89.882502
"Aqr",1,5,110395,212061,8518,"GJ 9779","48Gam Aqr","Sadachbia",22.360938,-1.387331,50.2008,129.24,8.9,3.86,"A0V",-0.057,"Gam",,"Aqr","south",88.612669
"Aqr",1,6,112961,216386,8698,"","73Lam Aqr","",22.87691,-7.579599,118.0638,19.51,32.71,3.73,"M2IIIvar",1.626,"Lam",,"Aqr","south",82.420401
"Aqr",1,7,113136,216627,8709,"","76Del Aqr","Skat",22.910837,-15.82082,49.2368,-44.08,-24.81,3.27,"A3V",0.066,"Del",,"Aqr","south",74.17918
"Aqr",1,8,112961,216386,8698,"","73Lam Aqr","",22.87691,-7.579599,118.0638,19.51,32.71,3.73,"M2IIIvar",1.626,"Lam",,"Aqr","south",82.420401
"Aqr",1,9,110395,212061,8518,"GJ 9779","48Gam Aqr","Sadachbia",22.360938,-1.387331,50.2008,129.24,8.9,3.86,"A0V",-0.057,"Gam",,"Aqr","south",88.612669
"Aqr",1,10,110003,211391,8499,"","43The Aqr","Ancha",22.280565,-7.78329,57.4713,118.95,-21.91,4.17,"G8III-IV",0.979,"The",,"Aqr","south",82.21671
"Aqr",1,11,109139,209819,8418,"","33Iot Aqr","",22.107286,-13.869679,53.7057,40.45,-57.16,4.29,"B8V",-0.075,"Iot",,"Aqr","south",76.130321
"Aqr",1,12,110003,211391,8499,"","43The Aqr","Ancha",22.280565,-7.78329,57.4713,118.95,-21.91,4.17,"G8III-IV",0.979,"The",,"Aqr","south",82.21671
"Aqr",1,13,110395,212061,8518,"GJ 9779","48Gam Aqr","Sadachbia",22.360938,-1.387331,50.2008,129.24,8.9,3.86,"A0V",-0.057,"Gam",,"Aqr","south",88.612669
"Aqr",1,14,109074,209750,8414,"","34Alp Aqr","Sadalmelik",22.096399,-0.319851,160.5136,17.9,-9.93,2.95,"G2Ib",0.969,"Alp",,"Aqr","south",89.680149
"Aqr",1,15,106278,204867,8232,"","22Bet Aqr","Sadalsuud",21.525982,-5.571172,164.7446,22.79,-6.7,2.9,"G0Ib",0.828,"Bet",,"Aqr","south",84.428828
"Ara",1,1,88714,165024,6743,"","The Ara","",18.11052,-50.091477,249.3766,-8.43,-9.26,3.65,"B2Ib",-0.101,"The",,"Ara","south",39.908523
"Ara",1,2,85792,158427,6510,"","Alp Ara","",17.530695,-49.876145,81.9672,-31.27,-67.15,2.84,"B2Vne",-0.136,"Alp",,"Ara","south",40.123855
"Ara",1,3,85258,157244,6461,"","Bet Ara","",17.421665,-55.529884,198.0198,-8.23,-24.71,2.84,"K3Ib-II",1.479,"Bet",,"Ara","south",34.470116
"Ara",1,4,85267,157246,6462,"","Gam Ara","",17.423239,-56.377727,341.2969,-0.77,-15.85,3.31,"B1Ib",-0.15,"Gam",,"Ara","south",33.622273
"Ara",1,5,85727,158094,6500,"","Del Ara","",17.518318,-60.683848,60.6796,-53.65,-99.37,3.6,"B8V",-0.104,"Del",,"Ara","south",29.316152000000002
"Ara",1,6,85267,157246,6462,"","Gam Ara","",17.423239,-56.377727,341.2969,-0.77,-15.85,3.31,"B1Ib",-0.15,"Gam",,"Ara","south",33.622273
"Ara",1,7,83081,152786,6285,"GJ 9581","Zet Ara","",16.977006,-55.990141,149.0313,-18.31,-35.29,3.12,"K5III",1.552,"Zet",,"Ara","south",34.009859
"Ara",1,8,82363,151249,6229,"","Eta Ara","",16.82976,-59.041378,91.7431,39.59,-25.28,3.77,"K5III",1.562,"Eta",,"Ara","south",30.958622
"Ara",1,9,83081,152786,6285,"GJ 9581","Zet Ara","",16.977006,-55.990141,149.0313,-18.31,-35.29,3.12,"K5III",1.552,"Zet",,"Ara","south",34.009859
"Ara",1,10,83153,152980,6295,"","Eps1Ara","",16.993069,-53.160438,110.6195,1.12,21.53,4.06,"K4III",1.452,"Eps-1",,"Ara","south",36.839562
"Ara",1,11,85792,158427,6510,"","Alp Ara","",17.530695,-49.876145,81.9672,-31.27,-67.15,2.84,"B2Vne",-0.136,"Alp",,"Ara","south",40.123855
"Ari",1,1,14838,19787,951,"","57Del Ari","Botein",3.193822,19.726677,52.0291,154.61,-8.39,4.35,"K2IIIvar",1.033,"Del",,"Ari","north",70.273323
"Ari",1,3,13209,17573,838,"","41    Ari","Bharani",2.833063,27.260507,50.7872,65.47,-116.59,3.61,"B8Vn",-0.1,"",,"Ari","north",62.739492999999996
"Ari",1,4,9884,12929,617,"Gl 84.3","13Alp Ari","Hamal",2.119555,23.462423,20.1776,190.73,-145.77,2.01,"K2III",1.151,"Alp",,"Ari","north",66.537577
"Ari",1,5,8903,11636,553,"Gl 80","6Bet Ari","Sheratan",1.910668,20.808035,17.9856,96.32,-108.8,2.64,"A5V...",0.165,"Bet",,"Ari","north",69.191965
"Ari",1,6,8832,11502,546,"","5Gam2Ari","Mesarthim",1.89217,19.293852,50.3018,79.43,-99.1,3.88,"A1p Si",-0.047,"Gam-2",,"Ari","north",70.706148
"Aur",1,1,24608,34029,1708,"Gl 194A","13Alp Aur","Capella",5.27815,45.997991,13.1234,75.52,-427.13,0.08,"M1: comp",0.795,"Alp",,"Aur","north",44.002009
"Aur",1,2,28360,40183,2088,"GJ 3375","34Bet Aur","Menkalinan",5.992149,44.947433,24.8694,-56.41,-0.88,1.9,"A2V",0.077,"Bet",,"Aur","north",45.052567
"Aur",1,3,28380,40312,2095,"","37The Aur","Mahasim",5.995351,37.212585,50.7614,42.09,-73.61,2.65,"A0p Si",-0.083,"The",,"Aur","north",52.787415
